"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.747223900E-2,-1.513125038E1,-4.380000305E1,-1.875000119E0,4.637791102E1
3.747223900E-2,-1.492500019E1,-4.391250229E1,-3.018750191E0,4.647769724E1
4.747223900E-2,-1.537500095E1,-4.434375000E1,-3.356250048E0,4.705340830E1
5.747223900E-2,-1.541250038E1,-4.428750229E1,-3.243750095E0,4.700478637E1
6.747223900E-2,-1.509375095E1,-4.396875000E1,-3.393750191E0,4.661104842E1
7.747223900E-2,-1.516875076E1,-4.400625229E1,-3.562500238E0,4.668332302E1
8.747223900E-2,-1.520625019E1,-4.385625076E1,-3.487500191E0,4.654850624E1
9.747223900E-2,-1.513125038E1,-4.385625076E1,-3.543750048E0,4.652831002E1
1.074722390E-1,-1.505625057E1,-4.383750153E1,-3.693750143E0,4.649796782E1
1.174722390E-1,-1.509375095E1,-4.395000076E1,-3.337500095E0,4.658929911E1
1.274722390E-1,-1.492500019E1,-4.378125000E1,-3.225000143E0,4.636759761E1
1.374722390E-1,-1.492500019E1,-4.378125000E1,-3.225000143E0,4.636759761E1
1.474722390E-1,-1.509375095E1,-4.393125153E1,-3.262500048E0,4.656629774E1
1.574722390E-1,-1.501875019E1,-4.389375305E1,-3.337500095E0,4.651196965E1
1.674722390E-1,-1.518750095E1,-4.406250000E1,-3.431250095E0,4.673261782E1
1.774722390E-1,-1.522500038E1,-4.406250000E1,-3.468750238E0,4.674758572E1
1.874722390E-1,-1.531875038E1,-4.408125305E1,-3.637500048E0,4.680867858E1
1.974722390E-1,-1.537500095E1,-4.391250229E1,-4.068750381E0,4.670388893E1
2.074722390E-1,-1.545000076E1,-4.393125153E1,-4.087500095E0,4.674788809E1
2.174722390E-1,-1.535625076E1,-4.389375305E1,-3.993750095E0,4.667361176E1
2.274722390E-1,-1.511250019E1,-4.376250076E1,-4.050000191E0,4.647522605E1
2.374722390E-1,-1.531875038E1,-4.396875000E1,-3.843750238E0,4.671926268E1
2.474722390E-1,-1.524375057E1,-4.398750305E1,-3.918750048E0,4.671861469E1
2.574722390E-1,-1.518750095E1,-4.404375076E1,-3.787500143E0,4.674245740E1
2.674722390E-1,-1.513125038E1,-4.406250000E1,-3.787500143E0,4.674188488E1
2.774722390E-1,-1.515000057E1,-4.426875305E1,-3.750000238E0,4.693940259E1
2.874722390E-1,-1.496250057E1,-4.426875305E1,-3.900000095E0,4.689145893E1
2.974722390E-1,-1.501875019E1,-4.425000000E1,-4.312500000E0,4.692784902E1
3.074722390E-1,-1.530000019E1,-4.447500229E1,-4.237500191E0,4.722364071E1
3.174722390E-1,-1.500000095E1,-4.430625153E1,-4.500000000E0,4.699248826E1
3.274722390E-1,-1.475625038E1,-4.428750229E1,-4.481250286E0,4.689575022E1
3.374722390E-1,-1.475625038E1,-4.434375000E1,-4.706250191E0,4.697088332E1
